report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
433789bf-7bf2-48a8-8202-8838fe8af754,Unsafe Act,,Refinery Sector 4,,Compressor,Line opened with residual pressure on the Compressor. High-energy release narrowly missed the operator.,line opened with residual pressure on the compressor. high-energy release narrowly missed the operator.,{},YES,Energy Isolation,HIGH,stopped work,supervisor intervened,replaced equipment,updated procedures,False
36a6f87b-3fbd-4d82-8751-35eb3731e880,Unsafe Act,,Refinery Sector 4,,Pump,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,small oil spill near pump at refinery sector 4. cleaned up promptly.,{},NO,Energy Isolation,LOW,,colleague intervened,replaced equipment,updated procedures,False
df30a346-b6a2-45ad-bded-1486ddb4be9a,Near Miss,,Unit A,,Compressor,"During maintenance of the Compressor at Unit A, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at unit a, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,HIGH,stopped work,supervisor intervened,,retrained staff,
f544b43a-a9db-4e5a-8529-ccf48d5cc182,Unsafe Act,,Offshore Platform 1,,Valve,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,small oil spill near valve at offshore platform 1. cleaned up promptly.,{},NO,Working at Height,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
6245a64f-1b38-4251-894f-4427f01c18f7,Unsafe Act,,Offshore Platform 1,,Compressor,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,small oil spill near compressor at offshore platform 1. cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,,
faad4331-acc3-4871-906a-098e8b46cf39,Near Miss,,Offshore Platform 1,,Pump,"During maintenance of the Pump at Offshore Platform 1, the technician started work without isolating the equipment. The Pump was still energized.","during maintenance of the pump at offshore platform 1, the technician started work without isolating the equipment. the pump was still energized.",{},YES,Confined Space,CRITICAL,reported to supervisor,,cleaned up,updated procedures,
f63effc1-c549-417a-bf53-b100d2656863,Near Miss,,Unit A,,Pump,Worker entered the confined space at Unit A without conducting a gas test. No standby person was present.,worker entered the confined space at unit a without conducting a gas test. no standby person was present.,{},YES,Pressure,CRITICAL,reported to supervisor,colleague intervened,,,False
a85a8a63-468f-42b9-a6eb-770c2cd473c0,Unsafe Act,,Offshore Platform 1,,Electrical Panel,"During maintenance of the Electrical Panel at Offshore Platform 1, the technician started work without isolating the equipment. The Electrical Panel was still energized.","during maintenance of the electrical panel at offshore platform 1, the technician started work without isolating the equipment. the electrical panel was still energized.",{},YES,Confined Space,CRITICAL,reported to supervisor,,,updated procedures,True
d00223ac-944c-4e08-8dba-4535cafafd4a,Near Miss,,Offshore Platform 1,,Pump,"While working at Offshore Platform 1, worker was at height without fall protection. Serious risk of fatal fall.","while working at offshore platform 1, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Working at Height,HIGH,reported to supervisor,,cleaned up,updated procedures,True
55bc1503-5730-4e17-8376-194b3c70fab3,Unsafe Condition,,Unit A,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,trip hazard due to loose cables near pump. cables were immediately organized.,{},NO,Slips/Trips,LOW,,,,retrained staff,True
44296dba-c7a6-40f3-9a3a-c6cfa7c000bd,Unsafe Act,,Offshore Platform 1,,Pump,Worker observed not wearing safety glasses at Offshore Platform 1.,worker observed not wearing safety glasses at offshore platform 1.,{},NO,Slips/Trips,LOW,reported to supervisor,supervisor intervened,,,True
13d02cb4-8c70-4c6f-8786-9178f490c683,Unsafe Act,,Offshore Platform 1,,Compressor,"During maintenance of the Compressor at Offshore Platform 1, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at offshore platform 1, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,HIGH,stopped work,,,retrained staff,True
a46e110e-ec35-4a61-9ed3-d11d28fe09d2,Near Miss,,Refinery Sector 4,,Compressor,"During maintenance of the Compressor at Refinery Sector 4, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at refinery sector 4, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Working at Height,CRITICAL,reported to supervisor,supervisor intervened,replaced equipment,,False
82aa5263-34b2-4c83-9dc5-11ef9115dedd,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,worker observed not wearing safety glasses at unit b.,{},NO,Working at Height,LOW,stopped work,colleague intervened,,,
31438ff2-e270-4d31-b5b8-98d314ffabc5,Unsafe Act,,Unit A,,Heat Exchanger,Small oil spill near Heat Exchanger at Unit A. Cleaned up promptly.,small oil spill near heat exchanger at unit a. cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,colleague intervened,,retrained staff,False
8ab3305c-ed6f-44fe-9aed-00ca0385ce30,Unsafe Condition,,Refinery Sector 4,,Electrical Panel,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,small oil spill near electrical panel at refinery sector 4. cleaned up promptly.,{},NO,Pressure,LOW,stopped work,supervisor intervened,,retrained staff,True
8e062c10-b2c8-424e-a548-97db29148df0,Unsafe Act,,Unit B,,Compressor,"During maintenance of the Compressor at Unit B, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at unit b, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,CRITICAL,reported to supervisor,colleague intervened,replaced equipment,,False
311580b9-a189-45a3-9aaa-b4904a1578b0,Unsafe Act,,Unit A,,Valve,Small oil spill near Valve at Unit A. Cleaned up promptly.,small oil spill near valve at unit a. cleaned up promptly.,{},NO,Pressure,MEDIUM,,,,retrained staff,True
8c375ad8-fb86-4163-bf4a-4956ea8f4047,Unsafe Condition,,Unit B,,Heat Exchanger,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,small oil spill near heat exchanger at unit b. cleaned up promptly.,{},NO,Working at Height,MEDIUM,reported to supervisor,colleague intervened,cleaned up,,
0ae3d5a9-66dd-40fa-a448-89abe234301f,Unsafe Act,,Unit B,,Compressor,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,worker used incorrect gloves for manual handling task. supervisor corrected the action.,{},NO,Energy Isolation,LOW,,supervisor intervened,replaced equipment,updated procedures,
0434f3e1-5541-497c-b829-c702c972c492,Unsafe Condition,,Refinery Sector 4,,Valve,Small oil spill near Valve at Refinery Sector 4. Cleaned up promptly.,small oil spill near valve at refinery sector 4. cleaned up promptly.,{},NO,Working at Height,MEDIUM,stopped work,colleague intervened,cleaned up,retrained staff,False
70bcbda1-4b98-4910-ac61-c3181144030a,Unsafe Act,,Unit B,,Compressor,"While working at Unit B, worker was at height without fall protection. Serious risk of fatal fall.","while working at unit b, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Confined Space,CRITICAL,reported to supervisor,supervisor intervened,cleaned up,retrained staff,False
84932a77-1a32-477b-8ef0-ae7e57553de2,Unsafe Act,,Unit A,,Heat Exchanger,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,trip hazard due to loose cables near heat exchanger. cables were immediately organized.,{},NO,Manual Handling,MEDIUM,stopped work,colleague intervened,cleaned up,,True
7fea5a64-3659-4aad-b721-e651d613dfbc,Unsafe Act,,Unit B,,Pump,Small oil spill near Pump at Unit B. Cleaned up promptly.,small oil spill near pump at unit b. cleaned up promptly.,{},NO,Confined Space,MEDIUM,stopped work,,,,False
