report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
d287ebef-9315-4de1-aa3b-a3640fc0c272,Unsafe Condition,,Refinery Sector 4,,Compressor,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,{},NO,Slips/Trips,MEDIUM,stopped work,,cleaned up,retrained staff,True
c316e557-a399-4375-b632-86918acf655e,Unsafe Act,,Unit B,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Trip hazard due to loose cables near Valve. Cables were immediately organized.,{},NO,Electrical,MEDIUM,reported to supervisor,supervisor intervened,replaced equipment,retrained staff,False
83086fcd-fe9c-4d6f-8771-bcd4021a5b6c,Unsafe Act,,Unit B,,Compressor,Small oil spill near Compressor at Unit B. Cleaned up promptly.,Small oil spill near Compressor at Unit B. Cleaned up promptly.,{},NO,Confined Space,MEDIUM,reported to supervisor,,cleaned up,,True
a46e110e-ec35-4a61-9ed3-d11d28fe09d2,Near Miss,,Refinery Sector 4,,Compressor,"During maintenance of the Compressor at Refinery Sector 4, the technician started work without isolating the equipment. The Compressor was still energized.","During maintenance of the Compressor at Refinery Sector 4, the technician started work without isolating the equipment. The Compressor was still energized.",{},YES,Working at Height,CRITICAL,reported to supervisor,supervisor intervened,replaced equipment,,False
384556be-d1f7-4f15-92a8-8e8cce8c2a8b,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Electrical,LOW,reported to supervisor,,replaced equipment,,True
a975b09f-cf9d-4f69-8766-b8c13291dd8a,Unsafe Act,,Unit B,,Electrical Panel,Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,{},YES,Confined Space,HIGH,reported to supervisor,colleague intervened,replaced equipment,,False
f1c3af38-6760-470c-b1f9-b3ae749ba11e,Unsafe Condition,,Refinery Sector 4,,Compressor,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Pressure,LOW,stopped work,,cleaned up,,
311580b9-a189-45a3-9aaa-b4904a1578b0,Unsafe Act,,Unit A,,Valve,Small oil spill near Valve at Unit A. Cleaned up promptly.,Small oil spill near Valve at Unit A. Cleaned up promptly.,{},NO,Pressure,MEDIUM,,,,retrained staff,True
85701770-b236-4e2c-aebe-5760c21db013,Unsafe Condition,,Offshore Platform 1,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Pressure,LOW,reported to supervisor,supervisor intervened,replaced equipment,retrained staff,
c58c665d-93a8-4b04-99cd-9cf52efce4b5,Unsafe Act,,Unit B,,Valve,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Energy Isolation,MEDIUM,reported to supervisor,colleague intervened,cleaned up,retrained staff,False
98b59e42-ed60-4f98-8c0d-01e8376522ff,Unsafe Act,,Unit B,,Heat Exchanger,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Working at Height,MEDIUM,stopped work,supervisor intervened,replaced equipment,,False
1b7d2f95-6df4-4845-aed6-4a0d5f318cb9,Unsafe Condition,,Refinery Sector 4,,Heat Exchanger,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,{},NO,Working at Height,LOW,reported to supervisor,,replaced equipment,retrained staff,
ab4310af-82a2-4797-9c9e-4aebab88a0ec,Unsafe Act,,Offshore Platform 1,,Pump,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Working at Height,LOW,reported to supervisor,,,,
fea6f36a-3a96-4969-b91f-b8c592dfe8ed,Unsafe Act,,Offshore Platform 1,,Pump,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Working at Height,LOW,reported to supervisor,,,,
39125e01-ec4f-4da4-a58a-60ee0dbebe18,Unsafe Condition,,Offshore Platform 1,,Pump,Worker observed not wearing safety glasses at Offshore Platform 1.,Worker observed not wearing safety glasses at Offshore Platform 1.,{},NO,Pressure,LOW,stopped work,colleague intervened,,updated procedures,
55bc1503-5730-4e17-8376-194b3c70fab3,Unsafe Condition,,Unit A,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Slips/Trips,LOW,,,,retrained staff,True
f05cacd0-b596-4a48-8610-b7fc991b739f,Unsafe Act,,Unit A,,Heat Exchanger,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Working at Height,MEDIUM,reported to supervisor,supervisor intervened,cleaned up,,False
7751b013-f174-4914-af75-0ed7483108cd,Unsafe Act,,Unit B,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Manual Handling,MEDIUM,,colleague intervened,,retrained staff,
8c375ad8-fb86-4163-bf4a-4956ea8f4047,Unsafe Condition,,Unit B,,Heat Exchanger,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,{},NO,Working at Height,MEDIUM,reported to supervisor,colleague intervened,cleaned up,,
029c2700-44d2-4370-987a-4e922ed99e24,Unsafe Act,,Refinery Sector 4,,Pump,,,{},NO,Confined Space,LOW,,,cleaned up,retrained staff,False
ed9ec8e3-ec92-40c0-8616-0066bd8f319f,Unsafe Condition,,Unit A,,Electrical Panel,Worker observed not wearing safety glasses at Unit A.,Worker observed not wearing safety glasses at Unit A.,{},NO,Electrical,MEDIUM,,colleague intervened,replaced equipment,updated procedures,False
858acbae-ebe4-4b52-a4bb-b75cd44133b2,Unsafe Condition,,Unit B,,Compressor,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Confined Space,LOW,,colleague intervened,,,True
811e1c5e-aee6-4e6d-a826-d7bafaec567b,Unsafe Act,,Offshore Platform 1,,Valve,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,{},NO,Working at Height,MEDIUM,stopped work,supervisor intervened,replaced equipment,updated procedures,True
0bf1fd06-26ff-4f17-a4fc-68e2df878704,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Electrical,LOW,reported to supervisor,,replaced equipment,updated procedures,True
1bef09a2-eb20-4065-97c9-b086b7c2efaf,Unsafe Condition,,Offshore Platform 1,,Compressor,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,{},NO,Energy Isolation,MEDIUM,stopped work,supervisor intervened,cleaned up,retrained staff,
7d3be623-ea4f-4540-b922-5bb60a7e1fec,Unsafe Condition,,Unit A,,Compressor,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,{},NO,Slips/Trips,LOW,stopped work,colleague intervened,cleaned up,updated procedures,
703ac3a9-4648-4908-b0bb-e7b3e6af8ff8,Unsafe Condition,,Refinery Sector 4,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Trip hazard due to loose cables near Valve. Cables were immediately organized.,{},NO,Manual Handling,LOW,stopped work,colleague intervened,,,False
db9e297d-a8f9-42e2-be44-e61b2076c725,Unsafe Condition,,Offshore Platform 1,,Heat Exchanger,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,{},NO,Confined Space,MEDIUM,reported to supervisor,colleague intervened,replaced equipment,,False
091ecbe2-170e-479d-b2b9-a418c66cf76a,Unsafe Condition,,Offshore Platform 1,,Heat Exchanger,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,{},NO,Confined Space,MEDIUM,reported to supervisor,colleague intervened,replaced equipment,,False
93a14a4a-20d9-45d1-badc-293ae443675d,Unsafe Condition,,Refinery Sector 4,,Electrical Panel,<div><p>Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.</p></div>,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Electrical,MEDIUM,,,,,True
8274a30d-fb9a-4940-bd3e-725439464ca6,Unsafe Condition,,Refinery Sector 4,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Manual Handling,MEDIUM,,supervisor intervened,cleaned up,,False
11b3cb1a-5fb8-4636-9117-2d2c10dbdf8c,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,colleague intervened,,,True
75029ebe-2641-4ca1-af43-5a70ced1fa93,Unsafe Condition,,Unit A,,Valve,Worker observed not wearing safety glasses at Unit A.,Worker observed not wearing safety glasses at Unit A.,{},NO,Working at Height,MEDIUM,stopped work,,cleaned up,,False
0b05bb92-8996-444a-a08f-3ddb8e98ab9e,Unsafe Act,,Unit A,,Pump,Small oil spill near Pump at Unit A. Cleaned up promptly.,Small oil spill near Pump at Unit A. Cleaned up promptly.,{},NO,Confined Space,LOW,stopped work,supervisor intervened,cleaned up,updated procedures,
6bc100f3-c42a-47fb-8b85-09d939beaa64,Unsafe Act,,Unit A,,Pump,Small oil spill near Pump at Unit A. Cleaned up promptly.,Small oil spill near Pump at Unit A. Cleaned up promptly.,{},NO,Confined Space,LOW,stopped work,supervisor intervened,cleaned up,updated procedures,
14bd26b6-59a3-40a7-8fbd-66d827fd7f23,Unsafe Act,,Offshore Platform 1,,Compressor,<div><p>Worker used incorrect gloves for manual handling task. Supervisor corrected the action.</p></div>,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Manual Handling,MEDIUM,reported to supervisor,colleague intervened,cleaned up,,
ff3c65e9-7a3f-48c1-a5bc-5ffcea5e7f04,Unsafe Condition,,Unit B,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Working at Height,MEDIUM,reported to supervisor,colleague intervened,cleaned up,retrained staff,False
1d832b3f-9699-4610-aa60-28371a76181d,Unsafe Act,,Refinery Sector 4,,Pump,Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,{},YES,Pressure,HIGH,reported to supervisor,supervisor intervened,cleaned up,updated procedures,False
c9f5287c-fe77-462d-9ccc-efe2848fe312,Unsafe Condition,,Refinery Sector 4,,Valve,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Pressure,MEDIUM,,,cleaned up,,
3cb2cae5-aa54-47ce-9fd8-1afa3fa6a841,Unsafe Condition,,Offshore Platform 1,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Working at Height,MEDIUM,,colleague intervened,cleaned up,,False
06c6d4d0-11c9-40ac-8960-8210540757a8,Unsafe Condition,,Unit A,,Pump,Small oil spill near Pump at Unit A. Cleaned up promptly.,Small oil spill near Pump at Unit A. Cleaned up promptly.,{},NO,Pressure,MEDIUM,reported to supervisor,,,retrained staff,False
86a9b977-e51a-45ba-b7d4-dfc11bad75fb,Unsafe Condition,,Unit A,,Electrical Panel,Worker observed not wearing safety glasses at Unit A.,Worker observed not wearing safety glasses at Unit A.,{},NO,Electrical,MEDIUM,reported to supervisor,,,retrained staff,True
6a28952f-9066-4cba-93c5-80088bb5ff45,Unsafe Act,,Offshore Platform 1,,Valve,Worker observed not wearing safety glasses at Offshore Platform 1.,Worker observed not wearing safety glasses at Offshore Platform 1.,{},NO,Working at Height,MEDIUM,reported to supervisor,colleague intervened,cleaned up,updated procedures,True
e041bbfc-ba29-4bc5-8297-85b43c2a4b23,Unsafe Act,,Unit B,,Compressor,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Pressure,LOW,,supervisor intervened,cleaned up,updated procedures,
dd563db1-69b3-4954-9d9f-83b9100fe4b5,Unsafe Condition,,Refinery Sector 4,,Pump,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Electrical,LOW,,supervisor intervened,replaced equipment,updated procedures,
578e0765-b0f9-4b54-b48c-bb43db4c444d,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Slips/Trips,MEDIUM,stopped work,,cleaned up,retrained staff,False
c1cd39e1-0474-4ba8-9b5e-56db6d34bfaa,Unsafe Condition,,Refinery Sector 4,,Valve,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Confined Space,LOW,,colleague intervened,,updated procedures,True
f6dd5d41-9b0b-40a1-a666-ba95658a6c3b,Unsafe Condition,,Refinery Sector 4,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Energy Isolation,MEDIUM,,supervisor intervened,cleaned up,,False
3ee8f13f-40c7-499e-b442-2e839c9621f0,Unsafe Condition,,Refinery Sector 4,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Energy Isolation,MEDIUM,,supervisor intervened,cleaned up,,False
42dfe404-478c-4b6e-8c97-212b9c6730f7,Unsafe Condition,,Unit A,,Heat Exchanger,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Confined Space,LOW,stopped work,,replaced equipment,,True
76cc2efe-0064-4d17-a917-f27b45d6ff36,Unsafe Condition,,Unit A,,Valve,Small oil spill near Valve at Unit A. Cleaned up promptly.,Small oil spill near Valve at Unit A. Cleaned up promptly.,{},NO,Slips/Trips,MEDIUM,,colleague intervened,cleaned up,,False
a2890aa6-e2b7-4cd5-8a61-0942e6078e3d,Unsafe Condition,,Offshore Platform 1,,Heat Exchanger,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,{},NO,Slips/Trips,MEDIUM,stopped work,supervisor intervened,cleaned up,updated procedures,False
03eccbd0-9c7b-47c3-909c-6b0037c9e3c1,Unsafe Act,,Unit A,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Trip hazard due to loose cables near Pump. Cables were immediately organized.,{},NO,Manual Handling,LOW,,,replaced equipment,updated procedures,False
36a6f87b-3fbd-4d82-8751-35eb3731e880,Unsafe Act,,Refinery Sector 4,,Pump,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,{},NO,Energy Isolation,LOW,,colleague intervened,replaced equipment,updated procedures,False
bd16075b-1576-4b95-b749-c93c90f0db33,Unsafe Act,,Refinery Sector 4,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Trip hazard due to loose cables near Valve. Cables were immediately organized.,{},NO,Pressure,MEDIUM,,colleague intervened,,retrained staff,
02dddc30-80c0-424f-8382-d81aec53a4d2,Unsafe Act,,Refinery Sector 4,,Pump,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Confined Space,LOW,reported to supervisor,supervisor intervened,cleaned up,,False
fb351272-d130-42fa-af91-33e3787f41f6,Unsafe Condition,,Refinery Sector 4,,Compressor,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Working at Height,LOW,,supervisor intervened,replaced equipment,,True
f9022177-d3a1-43a3-bcf7-34052fc2faeb,Unsafe Act,,Unit A,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Trip hazard due to loose cables near Valve. Cables were immediately organized.,{},NO,Manual Handling,MEDIUM,,supervisor intervened,cleaned up,,False
17289919-b272-45e2-9c6f-c79bd4d2227c,Unsafe Act,,Offshore Platform 1,,Valve,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,{},NO,Slips/Trips,MEDIUM,,colleague intervened,,,False
6245a64f-1b38-4251-894f-4427f01c18f7,Unsafe Act,,Offshore Platform 1,,Compressor,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,,
b0ecffce-6bfa-4f33-970e-f68e49fe1a55,Unsafe Condition,,Offshore Platform 1,,Valve,Worker observed not wearing safety glasses at Offshore Platform 1.,Worker observed not wearing safety glasses at Offshore Platform 1.,{},NO,Working at Height,MEDIUM,reported to supervisor,,replaced equipment,,
4a0eeacf-2df8-4a27-b1ad-958e3a124013,Unsafe Act,,Offshore Platform 1,,Electrical Panel,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Slips/Trips,MEDIUM,stopped work,colleague intervened,cleaned up,updated procedures,False
3fa323ab-84e3-4d78-91a4-865e8f142c75,Unsafe Act,,Offshore Platform 1,,Electrical Panel,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Slips/Trips,MEDIUM,stopped work,colleague intervened,cleaned up,updated procedures,False
a2fca1d6-b95a-4c19-84fa-6c7948147650,Unsafe Act,,Unit A,,Electrical Panel,Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,supervisor intervened,,,True
a449a159-1650-4817-bc20-1a9c0fcaf684,Unsafe Act,,Refinery Sector 4,,Electrical Panel,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,{},NO,Slips/Trips,LOW,,supervisor intervened,,retrained staff,False
1e083350-cf7c-4419-908a-95640c6b94e5,Unsafe Act,,Offshore Platform 1,,Compressor,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,{},NO,Working at Height,MEDIUM,stopped work,colleague intervened,cleaned up,retrained staff,False
e27fc3cf-3c1f-405e-bc30-376efc4354ac,Unsafe Condition,,Unit A,,Valve,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Energy Isolation,MEDIUM,,colleague intervened,replaced equipment,,
84932a77-1a32-477b-8ef0-ae7e57553de2,Unsafe Act,,Unit A,,Heat Exchanger,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,{},NO,Manual Handling,MEDIUM,stopped work,colleague intervened,cleaned up,,True
